ZIP Code,Home1MCount,HomeValueGrowth,Recreational Vessel Count,Area,Median_Income,Mean_Income,Private School Count,Wealth Score,Divorce Rate,Rank
33156,2360,0,479,Miami,134720,134720,0,4.541505332,0.06,1
33480,2022,0,199,Palm Beach,151121,151121,0,3.864522619,0.09,2
33149,1424,0,187,Key Biscayne,171982,171982,1,3.533404173,0.05,3
33133,1080,0,439,Miami,92734,92734,2,3.494276607,0.10,4
33143,1069,0,303,Miami,80924,80924,3,3.317424133,0.11,5
32963,1429,0,212,Vero Beach,142985,142985,0,3.238637483,0.06,6
34108,1682,0,118,Naples,120187,120187,0,3.176385635,0.09,7
34786,1110,0,101,Windermere,131409,131409,1,3.108970251,0.04,8
34102,1594,0,275,Naples,115927,115927,0,3.088194752,0.07,9
32082,1238,0,157,Ponte Vedra Beach,122807,122807,0,3.053025854,0.08,10
33140,1145,0,159,Miami Beach,103898,103898,2,3.029020838,0.10,11
33131,335,0,171,Miami,143114,143114,2,2.990888769,0.09,12
33134,731,0,218,Miami,92009,92009,2,2.83161763,0.10,13
33418,672,0,146,Palm Beach Gardens,123405,123405,0,2.822969816,0.09,14
33432,980,0,241,Boca Raton,94375,94375,1,2.806544845,0.09,15
33629,731,0,108,Tampa,158337,158337,0,2.790668721,0.05,16
33301,631,0,427,Fort Lauderdale,115421,115421,1,2.784458789,0.09,17
33157,111,0,186,Miami,80364,80364,5,2.677776093,0.07,18
33160,1141,0,246,North Miami Beach,62413,62413,1,2.675518689,0.10,19
33308,810,0,455,Fort Lauderdale,83413,83413,0,2.647603668,0.10,20
33076,158,0,93,Pompano Beach,174560,174560,0,2.646440836,0.05,21
34103,1194,0,115,Naples,115262,115262,0,2.638110804,0.10,22
33496,1114,0,70,Boca Raton,111754,111754,0,2.585875589,0.08,23
33458,534,0,244,Jupiter,107626,107626,0,2.551373622,0.08,24
33064,520,0,555,Pompano Beach,66269,66269,1,2.500806378,0.09,25
32259,141,0,114,Saint Johns,144168,144168,0,2.48929141,0.07,26
33410,686,0,334,Palm Beach Gardens,96059,96059,0,2.470953965,0.09,27
33408,547,0,384,North Palm Beach,91390,91390,1,2.442014299,0.10,28
33316,666,0,436,Fort Lauderdale,89200,89200,1,2.437366314,0.07,29
34134,851,0,86,Bonita Springs,122102,122102,0,2.43637863,0.08,30
34990,177,0,363,Palm City,120407,120407,1,2.43175996,0.07,31
34787,58,0,37,Winter Garden,114988,114988,1,2.424845459,0.08,32
33109,127,0,49,Miami Beach,250001,250001,0,2.40204297,0.07,33
33180,478,0,145,Miami,88613,88613,2,2.380213279,0.11,34
34228,746,0,170,Longboat Key,143365,143365,0,2.36197368,0.05,35
33139,889,0,253,Miami Beach,63368,63368,0,2.321786874,0.09,36
33483,670,0,281,Delray Beach,117854,117854,0,2.320554588,0.06,37
34145,692,0,309,Marco Island,104105,104105,0,2.289245656,0.05,38
33477,730,0,263,Jupiter,104107,104107,0,2.28196166,0.08,39
34236,601,0,140,Sarasota,96400,96400,1,2.280536296,0.11,40
32765,129,0,41,Oviedo,99161,99161,3,2.27261707,0.06,41
32789,756,0,80,Winter Park,100213,100213,0,2.269929837,0.10,42
33067,203,0,87,Pompano Beach,132385,132385,2,2.268368149,0.06,43
33469,429,0,167,Jupiter,103489,103489,2,2.26694594,0.10,44
32034,416,0,142,Fernandina Beach,97756,97756,1,2.24183443,0.08,45
33487,480,0,252,Boca Raton,93816,93816,1,2.228287979,0.09,46
33331,277,0,83,Fort Lauderdale,142464,142464,1,2.205131745,0.05,47
33647,93,0,62,Tampa,104775,104775,1,2.170637024,0.06,48
33433,99,0,68,Boca Raton,81421,81421,3,2.166623878,0.10,49
33146,613,0,174,Miami,124712,124712,0,2.162451123,0.04,50
32940,58,0,85,Melbourne,106511,106511,2,2.145418331,0.07,51
33037,610,0,472,Key Largo,80911,80911,0,2.138691149,0.07,52
33062,284,0,478,Pompano Beach,82955,82955,0,2.138571301,0.10,53
33040,505,0,370,Key West,79038,79038,0,2.124455035,0.09,54
33312,142,0,369,Fort Lauderdale,77644,77644,2,2.122770834,0.07,55
32804,143,0,39,Orlando,113466,113466,2,2.118659844,0.10,56
33414,401,0,108,Wellington,105953,105953,0,2.112339232,0.06,57
33324,284,0,74,Fort Lauderdale,83678,83678,2,2.100268114,0.11,58
34242,726,0,146,Sarasota,122143,122143,0,2.097261172,0.04,59
33706,402,0,278,Saint Petersburg,97364,97364,0,2.077895807,0.11,60
34110,574,0,99,Naples,95275,95275,0,2.074894987,0.10,61
33029,0,0,71,Hollywood,145282,145282,0,2.069674433,0.07,62
33158,223,0,85,Miami,180357,180357,0,2.044267397,0.06,63
33950,98,0,752,Punta Gorda,74484,74484,0,2.03056955,0.06,64
33178,230,0,81,Miami,91338,91338,2,2.017428993,0.07,65
32459,170,0,53,Santa Rosa Beach,101067,101067,2,2.011880109,0.11,66
32779,459,0,78,Longwood,115931,115931,0,2.011775194,0.06,67
32312,224,0,59,Tallahassee,119664,119664,1,1.972806297,0.05,68
34105,520,0,63,Naples,94702,94702,1,1.972313746,0.08,69
33411,142,0,81,West Palm Beach,89329,89329,1,1.971178591,0.09,70
33431,351,0,183,Boca Raton,103252,103252,1,1.971097581,0.07,71
33327,145,0,40,Fort Lauderdale,165458,165458,0,1.963778242,0.03,72
33176,297,0,233,Miami,80437,80437,0,1.962140531,0.08,73
33012,50,0,51,Hialeah,45818,45818,5,1.9576361,0.13,74
32250,126,0,175,Jacksonville Beach,111553,111553,0,1.957567057,0.09,75
32836,369,0,31,Orlando,111921,111921,1,1.946705105,0.06,76
33141,402,0,111,Miami Beach,64457,64457,2,1.94290481,0.11,77
33908,368,0,297,Fort Myers,74711,74711,0,1.939727232,0.07,78
32937,138,0,232,Satellite Beach,98411,98411,1,1.931961048,0.08,79
33957,638,0,83,Sanibel,122730,122730,0,1.92970856,0.05,80
32746,164,0,66,Lake Mary,111534,111534,0,1.903240153,0.09,81
33332,134,0,41,Fort Lauderdale,165045,165045,0,1.891007005,0.07,82
34986,20,0,51,Port Saint Lucie,85842,85842,4,1.878471705,0.04,83
32904,65,0,38,Melbourne,86943,86943,3,1.874524399,0.09,84
33606,260,0,98,Tampa,113634,113634,0,1.870584482,0.07,85
34202,201,0,84,Bradenton,123210,123210,0,1.869969274,0.06,86
33913,62,0,35,Fort Myers,106925,106925,2,1.857129093,0.06,87
32818,20,0,11,Orlando,60182,60182,5,1.852894444,0.09,88
34761,52,0,16,Ocoee,90406,90406,3,1.845712308,0.06,89
33572,110,0,257,Apollo Beach,113775,113775,0,1.837160591,0.05,90
32309,41,0,24,Tallahassee,110162,110162,2,1.835877299,0.06,91
32578,75,0,146,Niceville,105858,105858,1,1.830385304,0.06,92
32563,78,0,145,Gulf Breeze,97139,97139,2,1.824869259,0.07,93
33455,415,0,208,Hobe Sound,74149,74149,1,1.82404787,0.08,94
32828,0,0,36,Orlando,99927,99927,2,1.818417519,0.06,95
32210,229,0,142,Jacksonville,58215,58215,2,1.815458587,0.11,96
33330,340,0,84,Fort Lauderdale,132483,132483,0,1.812406963,0.05,97
33704,294,0,98,Saint Petersburg,102647,102647,0,1.804648913,0.10,98
34711,96,0,42,Clermont,88474,88474,2,1.801377722,0.06,99
33325,85,0,65,Fort Lauderdale,96004,96004,2,1.795330188,0.07,100
32137,186,0,208,Palm Coast,78731,78731,1,1.789390517,0.05,101
34996,480,0,223,Stuart,82898,82898,0,1.779599057,0.11,102
33186,0,0,110,Miami,86481,86481,2,1.777216212,0.07,103
32771,167,0,58,Sanford,74520,74520,2,1.766909417,0.06,104
33446,494,0,74,Delray Beach,74995,74995,0,1.766023666,0.08,105
33912,88,0,65,Fort Myers,101043,101043,2,1.764088368,0.06,106
33196,11,0,52,Miami,93370,93370,2,1.76267307,0.08,107
33626,42,0,43,Tampa,123580,123580,0,1.756826233,0.08,108
33014,88,0,66,Hialeah,74934,74934,3,1.755652191,0.09,109
33756,313,0,68,Clearwater,63990,63990,2,1.754734578,0.12,110
32092,30,0,57,Saint Augustine,122655,122655,0,1.748575387,0.05,111
33707,243,0,218,Saint Petersburg,68560,68560,1,1.745941866,0.11,112
34638,50,0,20,Land O'Lakes,117931,117931,1,1.745040895,0.07,113
34209,181,0,88,Bradenton,80829,80829,2,1.742796157,0.09,114
33486,186,0,100,Boca Raton,113575,113575,0,1.74244578,0.07,115
33050,212,0,399,Marathon,83243,83243,0,1.740292308,0.10,116
32308,89,0,24,Tallahassee,73125,73125,3,1.73975743,0.10,117
33028,9,0,32,Pembroke Pines,111553,111553,2,1.739044124,0.05,118
32712,112,0,29,Apopka,106264,106264,1,1.737828336,0.06,119
33138,152,0,109,Miami,71518,71518,2,1.731892425,0.08,120
32217,96,0,47,Jacksonville,69742,69742,3,1.72679343,0.10,121
34997,213,0,343,Stuart,75705,75705,0,1.722057314,0.08,122
34758,67,0,4,Kissimmee,67128,67128,4,1.719501863,0.09,123
34655,54,0,29,New Port Richey,85107,85107,2,1.718904375,0.06,124
32080,232,0,124,Saint Augustine,91201,91201,1,1.714863186,0.07,125
33611,182,0,69,Tampa,82804,82804,0,1.71026235,0.12,126
32081,0,0,16,Ponte Vedra,128316,128316,0,1.708825041,0.06,127
34688,50,0,37,Tarpon Springs,111090,111090,2,1.699701058,0.08,128
34109,333,0,75,Naples,91073,91073,0,1.692160579,0.07,129
32541,246,0,217,Destin,93004,93004,0,1.68721835,0.08,130
